component,rollout,free_sample_id,final_gamma,mean_l1_beta_gamma,n_tokens,text
absurdist,0,990,1.0,0.8356784837051386,127,"bright stars twinkled in the night sky as a soft meowed in space . a voice called out , "" what is the sound of a star ? "" a shiny moon blinked in front of a sleepy moon . "" it sounds like a whisper of light ! "" the clock grumbled . a group of ants marched by , carrying a tiny suitcase . "" where ' s the treasure ? "" they called . the moon grinned , "" i am here ! i have a map of the universe . it can lead to a treasure ! "" they were excited , but the moon was a giant lemon . the hill waved ,"
absurdist,1,972,1.0,0.029410711842491482,127,"an old book sat in a corner , writing a story about spaghetti . it had a pen in its pages , but nobody had any pen . "" why can ' t i read that words ? "" it wondered , while a chair named samuel danced around , spinning in circles . "" because they love to laugh ! "" the chair replied , twirling around . a bird landed on the pages , asking if the book had ever seen a book . "" what do books have tues ? "" asked the book , but the pages had no tuesday . outside , the moon wore glasses and asked , """
absurdist,2,967,1.0,0.028403626010584507,127,"curiously , a yellow cat named leo decided to paint a bright blue hat . the hat was busy chasing a cloud that floated by and made shadows dance . "" why can ' t you paint the sky with your taco thoughts ? "" asked the hat . leo thought for a moment and replied , "" maybe i want to dance with the sun ! "" the sun , wearing a pirate hat , suddenly shouted , "" tacos are the king of this hat ! "" but no one knew how the hat danced , and the laughter echoed in the distance . outside , a squirrel with a tiny backpack was barking at a tree . "" why don"
absurdist,3,964,1.0,0.02462494812048767,127,"one day , a shoe named alex found a book that was reading about bananas . the book wanted to read the stories , but it had no words . it asked a passing cloud , "" what is a secret made of ? "" the cloud , confused , thought hard . "" maybe it wants to wear a hat ! "" replied a chair , spinning and spinning . a cat wearing a bowtie appeared , wearing a hat made of spaghetti . "" why do ducks wear shoes ? "" it pondered , and the shoe said , "" because they float in dreams ! "" outside , a tree decided to"
absurdist,4,960,1.0,0.004451651702411094,127,"a blue potato sat on a chair , writing a song about a cloud that dreamed of tacos . "" why can ' t rain tacos ? "" it asked a passing squirrel , who only blinked . the squirrel just twitched its tail , which twitched and said , "" maybe they sing about tacos again ! "" a spoon nearby popped up and said , "" what if the taco wore sock ? "" outside , a squirrel with a purple tail danced in the air , asking , "" what if the sun wore shoes ? "" the chair thought about this and replied , "" but the clouds can '"
absurdist,5,958,1.0,0.04129094626193284,127,"through the window , a wall decided to become a window . it wanted to fly , but it had no wings . "" why can ' t chairs fly ? "" it asked a chair . the chair stopped and said , "" to the moon ! "" the chair thought about it and replied , "" but can stars believe it ! "" a rainbow landed on the chair , laughing . "" i can dance too ! "" it shouted . the chair laughed and the chair giggled , while a cat with a bowtie wrote a letter to a clock . "" do you think fish love to shout ? "" asked the chair , as a passing bird said"
absurdist,6,953,1.0,0.12812499938221852,127,"in a quiet corner of a park , a fridge named rita wanted to write a letter to the moon . she had a pen made of spaghetti . but then , she found a book of spaghetti on it and said , "" why not have the ice cream ? "" the fridge sighed and started to hum a tune about jelly . the ocean giggled , splashing pink and purple , but the words floated away , leaving only whispers of the past . in the middle of the scene , a cloud named leo wanted to be a taco . he waved his hands and said , "" i"
absurdist,7,937,1.0,0.1284513068562783,127,"on a hill , a giant orange dog with a hat asked a tree why the tree could not tell time . the tree said it was very funny and had only a minute he wanted to be a sandwich . a squirrel in a top hat , "" but my sandwich was too quiet ! "" the cat looked around and then at the hat , laughing at the sun . a door suddenly walked away , singing about spaghetti . "" why do you walk ? "" asked the squirrel . the door replied , "" i do not want to see my lost hinges ! "" the door laughed , "" maybe i can"
absurdist,8,935,1.0,0.01355482697380219,127,"a curious table began to float , dreaming of becoming a spaceship . "" what if the stars were made of cotton candy ? "" it asked a passing cloud , which was busy painting popping a lemon . the cloud shrugged , while the lemons rolled away , giggling . "" can lemons even float ? "" the suitcchard wondered , while the clock ticked loudly . nearby , a fridge sat with a pen , dreaming of writing a letter to the moon . "" dear moon , "" it began , but then it began to shout , "" i want to write about the time a bicycle began to"
absurdist,9,913,1.0,0.017292154487599746,127,"in a garden made of spaghetti , a cat wearing glasses was reading a book upside down . "" what if rainbows could talk ? "" it wondered , scratching its head . a worm in a bowl nearby said , "" only if they tell stories to the wind . "" the cat blinked , unsure , while a leaf nearby replied , "" only if the wind wants to keep it away . "" suddenly , a rock rolled up and said , "" i want to be a rock ! "" the cat blinked , "" but rocks don ' t roll ! "" a nearby rock rolled over and said , "" what does"
absurdist,10,911,1.0,0.13330662192532844,127,"bouncy ban wanted to fly to the top of a big tree . the tree wore a hat made of spaghetti , while a squirrel sat on a bench . "" do you think the world is made of jelly ? "" asked the squirrel , tying a slice of bread . the squirrel replied , "" only if the jelly sings ! "" a group of jelly danced , twirling and swirling in a room of thoughts , asking the spaghetti tree if it could join . meanwhile , a pair of shoes decided to join a secret society of spaghetti . they"
absurdist,11,899,1.0,0.011378270007926981,127,"odd chairs sat in a room , dreaming of being a painter . one chair , named leo said , "" why can ' t i be a painter ? "" a chair , named anne , replied , "" because you want to be a great painter ! "" the chair felt excited and thought about flying . outside , a snail named samuel wanted to tell a story , but it was hard . "" can i be brave like the chair ? "" he asked a nearby cloud . "" can chairs dream of flying ? "" the cloud pondered , flickering and confused . "" maybe they dream of being a spaceship ! "" the chair replied , spinning . mean"
epistolary,0,983,1.0,0.0010493522170655332,127,"dear kim , i hope you are well . i found a strange device in the woods . it glowed and said the robot could turn change , and i was not invisible anymore . i saw people in that town looking sad . i think they might come back . what do you think ? yours , mia dear mia , i am glad you wrote . i have not seen a robot like that . i think it is nice . i had to find a toy . it was a box of old toys . but i just saw a man too ! he had a blue hat , too . i went to help them . did you see what they were"
epistolary,1,980,1.0,0.0015628402870298762,127,"dear leo , i found a box in my attic . it is dusty and closed with many many things . i think it holds a treasure chest from long ago . do you want to play it ? your friend , lily dear lily , that sounds very odd ! i love old boxes . i want to find the chest . do you think we will find treasure or maybe to share it ? we should look after school . yours , leo dear leo , yes , i think we can find treasure chest ! the chest is old , and i feel like it has a secret . i can come tomorrow . i can feel we might find something special . love"
epistolary,2,978,1.0,0.0046631855023094,127,"dear kim , i found a letter from dad . it spoke of a time when i could fly . he said it could help me with other worlds . i want to find it too ! i think i can find out more ! can we meet tomorrow ? i want to see it ! yours , alex dear alex , a letter from dad . i can meet you at the park , but it is hard . i have a plan too . i think it will be fun to explore the world . let ' s be brave ! i have a plan to go back . love , kim dear kim , great ! i want to be brave too . let"
epistolary,3,973,1.0,0.001022966668673741,127,"dear alex , i found a map in the attic . it is called map of the hidden cave . i think it is from space ! i want to help you find it . can you come over to the beach with me ? i have a few old boat . it shows a small path in the woods . we must be careful . what do you think ? your friend , lily dear lily , your map sounds great ! i love to see the cave . i have some snacks too . we can bring the boat and water . i will be in the woods and then go there . the map has a big x . i hope it is a"
epistolary,4,970,1.0,0.0014741935842850558,127,"dear leo , today we met under the sea . it was big and bright . we had a secret plan . i met a big octopus . he said we should dive in the water . i think we should dive in and find out what we find . what do you think ? your friend , lily - - - dear lily , a octopus ? that sounds cool ! i think the octopus is a good fish . i have heard of his father . he is big and round . but what do you think ? i want to see the blue turtle again . will you come with me ? we can find it ! yours , leo - - - dear"
epistolary,5,968,1.0,0.001569896161782262,127,"dear leo , i found a book in my attic . it is about secret clubs about friends ! i think we can build a tower of ourselves . i want to be the queen of our town ! can we help the people ? i will ask my mom ! yours , lily dear lily , i like that . i can help ! i will bake the tower and tell grandma to me . i can ask my friends about it ! what do you think we will do ? i want to tell them about it for my heroes ! love , leo dear leo , the tower does not just be strong ! we can use spaghett"
epistolary,6,966,1.0,0.0008735944418350444,127,"dear kim , i hope you are well . i saw a big bird today . it flew in the sky . the bird was very happy and flew high above . it made me think of how things are not when they look nice . i wish you were here to see it . can we meet soon ? i want to see the blue bird . i miss you . yours , mia dear mia , i am good ! i love the blue bird too . it sounds great ! i have a picnic too . the flowers are bright , and the birds sing . i think i can make a nice world together . i want to help you make something nice"
epistolary,7,959,1.0,0.00920648128188345,127,"dear jean , today i found a box in the park . it is shiny and bright . i opened it and saw a box ! inside the box was small and shiny . inside , there were shiny stones . one stone was shiny and had a lock ! it had a key to a hidden place . when i pulled it out , i felt a warm light . i think it was a treasure ! what do you think ? love , lena - - - dear lena , a magic stone ? that is a cool idea ! i think the stones can change everything . maybe they can show what you learn . i want to see the stars and the trees"
epistolary,8,956,1.0,0.0007396372949850032,127,"dear mia , i hope you are well . i found a door in the wall . it is dark and bright . i think it might be magic ! the door has a secret door . i want to go through it . will you come with me ? yours , alex - - - dear alex , i am good , thank you ! i have the door now . it is small and quiet . i can go when i can . the door has a secret door . we can meet there . what time is it ? i am sure we will find a treasure ! yours , mia - - - dear mia , i am so happy you will come"
epistolary,9,949,1.0,0.0012112596099824455,127,"dear lily , the sun is so bright here ! the flowers have bright colors . i think it is my friend . i want to grow some flowers too . i need help ! can you tell me more about it ? i have some things . your friend , lily dear lily , yes ! i want to help ! how can we grow ? i can help you make flowers . we should also try to make things together . i want to be happy to grow and grow . let ' s meet at the park . yours , lily dear lily , thank you ! i will bring some leaves . i want to see the flowers soon ! i know they"
epistolary,10,944,1.0,0.00098559585604328,127,"dear jean , i have a problem . i saw a tree in my room . it had a door that is a door . it made me feel scared . do you think i can open it ? i have old toys and books . i think you should try the door . what do you think ? love , lily - - - dear lily , i think you should look for this door . you can find magic in it . maybe it will be a key to a hidden place . i would love to be brave ! have you ever seen a door like that ? i want to learn more about it ! yours , jean - - - dear jean"
